title,studio,category,release_year,platform,price_usd,units_sold_millions,revenue_millions,metacritic_score
Hades,Supergiant Games,Indie,2020,PC,24.99,2.0,49.98,93
Hollow Knight,Team Cherry,Indie,2017,PC,14.99,3.0,44.97,90
Celeste,Extremely OK Games,Indie,2018,PC,19.99,1.5,29.99,92
Undertale,Toby Fox,Indie,2015,PC,9.99,5.0,49.95,92
Stardew Valley,ConcernedApe,Indie,2016,PC,14.99,8.0,119.92,89
Dead Cells,Motion Twin,Indie,2018,PC,24.99,2.5,62.48,89
Cuphead,Studio MDHR,Indie,2017,PC,19.99,4.0,79.96,87
Slay the Spire,MegaCrit,Indie,2019,PC,24.99,2.0,49.98,89
Baldurs Gate 3,Larian Studios,AAA,2023,PC,59.99,10.0,599.90,96
Cyberpunk 2077,CD Projekt,AAA,2020,PC,59.99,13.0,779.87,86
Elden Ring,FromSoftware,AAA,2022,PC,59.99,20.0,1199.80,96
God of War Ragnarok,Sony Santa Monica,AAA,2022,PS5,69.99,11.0,769.89,94
Spider-Man 2,Insomniac Games,AAA,2023,PS5,69.99,8.0,559.92,90
The Legend of Zelda Tears of the Kingdom,Nintendo,AAA,2023,Switch,69.99,18.0,1259.82,96
Starfield,Bethesda,AAA,2023,PC,69.99,6.0,419.94,83
Final Fantasy XVI,Square Enix,AAA,2023,PS5,69.99,3.0,209.97,87
Resident Evil 4 Remake,Capcom,AAA,2023,PC,59.99,7.0,419.93,93
Black Myth Wukong,Game Science,AAA,2024,PC,59.99,15.0,899.85,81
Dave the Diver,MINTROCKET,Indie,2023,PC,19.99,3.0,59.97,91
Vampire Survivors,Poncle,Indie,2022,PC,4.99,5.0,24.95,86
Pizza Tower,Tour De Pizza,Indie,2023,PC,19.99,1.0,19.99,89
Palworld,Pocketpair,Indie,2024,PC,29.99,12.0,359.88,86
